Field=Quantity~Integer~Quantity~100|Field=Designator~String~Designator~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~100|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~LED Controller.PrjPCB|ReportField=ProjectFullPath~C:\RobertPersonal\LED Controller\LED Controller.PrjPCB|ReportField=Title~Bill of Materials For Project [LED Controller.PrjPCB] (No PCB Document Selected)|ReportField=TotalQuantity~21|ReportField=ReportTime~2:55:15 PM|ReportField=ReportDate~12/8/2013|ReportField=ReportDateTime~12/8/2013 2:55:15 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~12/8/2013|ReportField=CurrentTime~2:53:03 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\RobertPersonal\LED Controller\SCHDOCS\Top Level.SchDoc|ReportField=DocumentName~Top Level.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~12/8/2013|ReportField=Organization~|ReportField=ProjectName~LED Controller.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~LED Controller.PrjPCB|ReportField=DataSourceFullPath~C:\RobertPersonal\LED Controller\LED Controller.PrjPCB
7|C1_Controller1, C1_Controller2, C1_Controller3, C2_Controller1, C2_Controller2, C2_Controller3, C3|Digi-Key|445-6813-2-ND|4.7µF|Capacitor|CAP_1206|CAPACITOR
3|D1_Controller1, D1_Controller2, D1_Controller3|Digi-Key|SS24T3GOSCT-ND|DIODE||DO-214AA(SMB)|DIODE
1|J1|Digi-Key|WM8204-ND|HEADER_3||MOLEX_C-GRID3_3PIN|HEADER_3
1|J2|Digi-Key|WM8197-ND|HEADER_6||MOLEX_C-GRID3_6PIN|HEADER_6
3|L1_Controller1, L1_Controller2, L1_Controller3|Digi-Key|SRN8040-470MDKR-ND|47µH||INDUCTOR_BOURNS_SRN8040|INDUCTOR
3|R1_Controller1, R1_Controller2, R1_Controller3|Digi-Key|A109804DKR-ND|0.3|Resistor|RES_0805|RESISTOR
3|U1_Controller1, U1_Controller2, U1_Controller3|Digi-Key|ZXLD1360ET5DKR-ND|ZXLD1360|ZXLD1360|SOT95P245X110-5N|ZXLD1360
